disno,historic,class_key,event_name,iso,origin,associ_types,ofda_response,appeal,decl,amount_aid,magni,magn_scale,lat,long,start_year,total_deaths,total_affec,total_damage,total_damadj,cpi,entry_date,last_update
21,1,nat-bio-epi-par,Fran,98,510,73,0,0,0,7520.0,222.0,Vaccinated,29.3,66.7,1992,60.0,380000.0,74200.0,154757.0,47.94612963679862,2003-07-01,2023-09-25
22,1,nat-met-sto-tro,Fran,207,510,73,0,0,0,7520.0,222.0,Kph,29.3,66.7,1992,60.0,1150.0,74200.0,154757.0,47.94612963679862,2003-07-01,2023-09-25
23,1,nat-hyd-flo-flo,Chuck,147,510,73,1,0,0,7520.0,5.7,Km2,29.3,66.7,1992,60.0,942777.0,74200.0,154757.0,47.94612963679862,2007-10-12,2023-09-25
24,1,nat-geo-ear-gro,Chuck,144,319,73,0,0,0,11162.0,5.7,Richter,29.3,66.7,1992,4.0,200.0,230.0,480.0,47.94612963679862,2003-12-10,2023-09-25
25,1,nat-hyd-flo-flo,Chuck,144,319,73,1,0,0,11162.0,137600.0,Km2,-6.087,26.651,1992,112.0,6184418.0,230.0,480.0,47.94612963679862,2006-07-18,2023-09-25
26,1,nat-met-sto-tro,Chuck,206,319,73,0,0,0,11162.0,19409.0,Kph,-6.087,26.651,1992,14.0,47186.0,400.0,834.0,47.94612963679862,2003-07-01,2023-09-25
27,1,nat-hyd-flo-riv,Andrew,144,319,73,1,1,1,180.0,19409.0,Km2,-6.087,26.651,1992,1334.0,6655450.0,1000000.0,2085674.0,47.94612963679862,2008-04-04,2023-09-25
28,1,nat-hyd-flo-fla,Andrew,0,10,73,0,0,0,180.0,6.7,Km2,-6.087,26.651,1992,450.0,4000.0,4000.0,8343.0,47.94612963679862,2005-11-21,2023-09-25
29,1,nat-geo-ear-gro,Andrew,37,143,69,0,0,0,253.0,6.7,Richter,-6.087,26.651,1992,9.0,311.0,250000.0,521419.0,47.94612963679862,2004-03-26,2023-09-25
30,1,nat-met-sto-tro,Andrew,19,143,69,1,0,0,253.0,241.0,Kph,19.9,-77.5,1992,4.0,1700.0,250000.0,521419.0,47.94612963679862,2003-07-01,2023-09-25
31,1,nat-met-sto-tro,Andrew,200,143,69,0,0,0,2019.0,290.0,Kph,19.9,-77.5,1992,44.0,250055.0,26500000.0,55270363.0,47.94612963679862,2004-08-20,2023-09-25
32,1,nat-geo-ear-gro,Cholera,44,143,69,0,0,0,2019.0,7.0,Richter,19.9,-77.5,1992,63.0,5869.0,2969100.0,6192575.0,47.94612963679862,2003-12-10,2023-09-25
33,1,nat-hyd-flo-riv,Cholera,87,143,69,0,0,0,2019.0,1100.0,Km2,11.742,-87.34,1992,63.0,20000.0,2969100.0,6192575.0,47.94612963679862,2006-01-06,2023-09-25
34,1,nat-hyd-flo-riv,Cholera,87,143,69,0,0,0,2019.0,400.0,Km2,11.742,-87.34,1992,29.0,15000.0,500300.0,1043463.0,47.94612963679862,2006-01-06,2023-09-25
35,1,nat-hyd-flo-riv,Cholera,5,121,82,1,0,0,2019.0,400.0,Km2,11.742,-87.34,1992,29.0,86074.0,260000.0,542275.0,47.94612963679862,2005-11-21,2023-09-25
36,1,nat-hyd-flo-riv,Cholera,25,121,82,0,0,0,12.0,400.0,Km2,11.742,-87.34,1992,29.0,125493.0,10000.0,20857.0,47.94612963679862,2006-01-06,2023-09-25
37,1,nat-hyd-flo-flo,Cholera,154,319,82,1,0,0,2162.0,400.0,Km2,11.742,-87.34,1992,12.0,65575.0,10000.0,20857.0,47.94612963679862,2003-07-01,2023-09-25
38,1,nat-met-sto-tor,Cholera,145,319,82,0,0,0,10056.0,400.0,Kph,11.742,-87.34,1992,12.0,50.0,10000.0,20857.0,47.94612963679862,2006-01-06,2023-09-25
39,1,nat-geo-ear-gro,Cholera,137,319,82,0,0,0,10056.0,7.0,Richter,11.742,-87.34,1992,179.0,6179.0,25000.0,52142.0,47.94612963679862,2004-03-26,2023-09-25
40,1,nat-hyd-flo-riv,Cholera,199,319,73,1,0,0,366.0,7.5,Km2,42.142,73.575,1992,54.0,4700.0,130000.0,271138.0,47.94612963679862,2003-07-01,2023-09-25
41,1,nat-geo-ear-gro,Cholera,97,319,73,1,0,0,721.0,7.5,Richter,42.142,73.575,1992,54.0,86806.0,130000.0,271138.0,47.94612963679862,2004-03-26,2023-09-25
42,1,nat-geo-ear-gro,Cholera,97,319,73,1,0,0,200.0,7.0,Richter,42.01,74.01,1992,4.0,50000.0,31000.0,64656.0,47.94612963679862,2004-03-26,2023-09-25
43,1,nat-hyd-flo-riv,Cholera,85,319,73,0,0,0,1118.0,5.5,Km2,51.153,5.798,1992,500.0,70000.0,57850.0,120656.0,47.94612963679862,2005-11-21,2023-09-25
44,1,nat-bio-epi-bac,Cholera,31,121,71,0,0,0,1118.0,5.5,Richter,51.153,5.798,1992,17.0,350.0,100000.0,208567.0,47.94612963679862,2003-07-01,2023-09-25
45,1,nat-bio-epi-bac,Cholera,169,121,71,0,0,0,1118.0,5.5,Richter,51.153,5.798,1992,1.0,350.0,100000.0,208567.0,47.94612963679862,2003-07-01,2023-09-25
46,1,nat-geo-ear-gro,Pacaya,14,121,71,0,0,0,1118.0,5.5,Richter,51.153,5.798,1992,1.0,1525.0,100000.0,208567.0,47.94612963679862,2006-04-24,2023-09-25
47,1,nat-geo-ear-gro,Pacaya,48,121,71,0,0,0,1118.0,5.6,Richter,51.153,5.798,1992,1.0,1525.0,50000.0,104284.0,47.94612963679862,2005-12-07,2023-09-25
48,1,nat-geo-ear-gro,Pacaya,139,121,71,0,0,0,1118.0,5.5,Richter,51.153,5.798,1992,25.0,20.0,400000.0,834270.0,47.94612963679862,2004-03-26,2023-09-25
49,1,nat-geo-vol-ash,Pacaya,75,121,71,0,0,0,1118.0,140.0,Kph,14.4,-90.6,1992,25.0,5000.0,400000.0,834270.0,47.94612963679862,2005-06-03,2023-09-25
50,1,nat-met-sto-tro,Unzen ,85,121,71,0,0,0,1118.0,140.0,Kph,32.75,130.3,1992,25.0,100.0,400000.0,834270.0,47.94612963679862,2006-01-06,2023-09-25
51,1,nat-geo-vol-ash,Unzen ,94,121,71,0,0,0,1118.0,6.9,°C,32.75,130.3,1992,15.0,40000.0,400000.0,834270.0,47.94612963679862,2005-06-03,2023-09-25
52,1,nat-met-ext-col,Axel,93,121,71,0,0,0,1118.0,6.9,°C,40.415,-124.603,1992,15.0,20000.0,400000.0,834270.0,47.94612963679862,2006-01-03,2023-09-25
53,1,nat-met-sto-tro,Axel,200,121,71,0,0,0,1118.0,6.9,Kph,40.415,-124.603,1992,50.0,20000.0,78000.0,162683.0,47.94612963679862,2003-07-01,2023-09-25
54,1,nat-met-ext-col,Angela,118,121,71,0,0,0,1118.0,6.9,°C,40.415,-124.603,1992,50.0,16000.0,78000.0,162683.0,47.94612963679862,2006-01-03,2023-09-25
55,1,nat-met-sto-sto,Angela,140,121,55,0,0,0,1118.0,6.9,Kph,40.415,-124.603,1992,12.0,94.0,75000.0,156426.0,47.94612963679862,2003-07-01,2023-09-25
56,1,nat-geo-mmd-ava,Angela,186,121,55,0,0,0,1118.0,6.9,Richter,40.415,-124.603,1992,12.0,94.0,75000.0,156426.0,47.94612963679862,2003-07-01,2023-09-25
57,1,nat-geo-ear-gro,Angela,200,121,55,0,0,0,1118.0,6.9,Richter,40.415,-124.603,1992,35.0,94.0,75000.0,156426.0,47.94612963679862,2004-03-26,2023-09-25
58,1,nat-hyd-flo-flo,Angela,149,121,55,0,0,0,1118.0,569.0,Km2,-4.08,145.037,1992,35.0,90000.0,68700.0,143286.0,47.94612963679862,2003-07-01,2023-09-25
59,1,nat-met-sto-hai,Angela,34,121,55,0,0,0,193704.0,569.0,Kph,-4.08,145.037,1992,35.0,3300362.0,68700.0,143286.0,47.94612963679862,2007-08-08,2023-09-25
60,1,nat-cli-wil-for,Angela,141,121,39,0,0,0,193704.0,569.0,Km2,-4.08,145.037,1992,56.0,50000.0,6200.0,12931.0,47.94612963679862,2003-07-01,2023-09-25
61,1,nat-met-sto-hai,Angela,34,121,39,0,0,0,193704.0,569.0,Kph,-4.08,145.037,1992,109.0,7700000.0,96000.0,200225.0,47.94612963679862,2006-01-06,2023-09-25
62,1,nat-met-sto-tro,Angela,206,121,83,0,0,0,193704.0,569.0,Kph,-4.08,145.037,1992,17.0,32172.0,18000.0,37542.0,47.94612963679862,2003-07-01,2023-09-25
63,1,nat-hyd-flo-riv,Manam,206,121,83,1,0,0,193704.0,569.0,Km2,-4.08,145.037,1992,55.0,51698.0,47700.0,99487.0,47.94612963679862,2005-11-21,2023-09-25
64,1,nat-hyd-flo-coa,Manam,206,476,83,0,0,0,193704.0,5.9,Km2,-4.08,145.037,1992,1.0,58000.0,182100.0,379801.0,47.94612963679862,2005-11-21,2023-09-25
65,1,nat-geo-vol-ash,Manam,149,121,83,0,0,1,193704.0,5.9,Km2,-4.08,145.037,1992,51.0,500.0,182100.0,379801.0,47.94612963679862,2005-06-03,2023-09-25
66,1,nat-hyd-flo-riv,Joni,85,121,83,0,0,0,193704.0,5.9,Km2,29.888,31.223,1992,51.0,500.0,182100.0,379801.0,47.94612963679862,2003-07-01,2023-09-25
67,1,nat-hyd-mmw-lan,Joni,84,121,83,0,0,0,193704.0,5.9,Richter,29.888,31.223,1992,75.0,37000.0,5400.0,11263.0,47.94612963679862,2003-07-01,2023-09-25
68,1,nat-geo-ear-gro,Joni,55,121,83,1,0,0,193704.0,5.9,Richter,29.888,31.223,1992,552.0,92649.0,1200000.0,2502809.0,47.94612963679862,2004-03-26,2023-09-25
69,1,nat-hyd-flo-riv,Joni,169,121,83,0,0,0,150.0,6.6,Km2,7.123,7.0,1992,2.0,8000.0,7000.0,14600.0,47.94612963679862,2005-11-21,2023-09-25
70,1,nat-geo-ear-gro,Joni,40,10,83,0,0,0,150.0,6.6,Richter,7.123,7.0,1992,11.0,1635.0,7000.0,14600.0,47.94612963679862,2004-03-26,2023-09-25
71,1,nat-bio-epi-bac,Joni,36,10,82,1,0,0,2204.0,45.0,Km2,-8.482,121.93,1992,731.0,7865.0,7000.0,14600.0,47.94612963679862,2003-07-01,2023-09-25
72,1,nat-bio-epi-bac,Joni,30,10,82,1,0,0,2204.0,45.0,Km2,-8.482,121.93,1992,56.0,418.0,7000.0,14600.0,47.94612963679862,2003-07-01,2023-09-25
73,1,nat-cli-wil-for,Joni,43,10,82,1,0,0,2204.0,45.0,Km2,-8.482,121.93,1992,11.0,1200.0,7000.0,14600.0,47.94612963679862,2003-07-01,2023-09-25
74,1,nat-hyd-flo-riv,Joni,146,10,82,1,0,0,2204.0,5620.0,Km2,-8.482,121.93,1992,11.0,30000.0,7000.0,14600.0,47.94612963679862,2003-07-01,2023-09-25
75,1,nat-hyd-flo-fla,Joni,3,10,82,1,0,0,2204.0,5620.0,Km2,-8.482,121.93,1992,11.0,35000.0,7000.0,14600.0,47.94612963679862,2006-07-18,2023-09-25
76,1,nat-hyd-mmw-mud,Joni,24,476,82,1,0,0,158.0,7.5,Kph,-8.482,121.93,1992,49.0,600.0,400000.0,834270.0,47.94612963679862,2003-07-01,2023-09-25
77,1,nat-met-sto-tro,Joni,61,476,82,0,0,0,5209.0,7.5,Kph,-8.482,121.93,1992,1.0,2000.0,1600.0,3337.0,47.94612963679862,2009-11-13,2023-09-25
78,1,nat-geo-ear-gro,Cholera,84,476,82,1,0,0,5209.0,7.5,Richter,-8.482,121.93,1992,2500.0,92103.0,100000.0,208567.0,47.94612963679862,2005-04-26,2023-09-25
79,1,nat-hyd-flo-coa,Cholera,202,476,73,0,0,0,377.0,100.0,Km2,31.726,50.778,1992,3.0,200.0,103100.0,215033.0,47.94612963679862,2005-11-21,2023-09-25
80,1,nat-hyd-flo-riv,Cholera,162,143,73,0,0,0,377.0,100.0,Km2,31.726,50.778,1992,1.0,6000.0,103100.0,215033.0,47.94612963679862,2003-07-01,2023-09-25
81,1,nat-bio-epi-bac,Cholera,126,143,73,0,0,0,4350.0,100.0,Kph,31.726,50.778,1992,587.0,225673.0,103100.0,215033.0,47.94612963679862,2003-07-01,2023-09-25
82,1,nat-bio-epi-bac,Cholera,212,143,73,0,0,0,4350.0,100.0,Kph,31.726,50.778,1992,30.0,11659.0,103100.0,215033.0,47.94612963679862,2003-07-01,2023-09-25
83,1,nat-bio-epi-bac,Cholera,179,143,73,0,0,0,4350.0,100.0,Kph,31.726,50.778,1992,30.0,2228.0,103100.0,215033.0,47.94612963679862,2003-07-01,2023-09-25
84,1,nat-met-sto-sto,Gastroenteritis,62,143,73,0,0,0,4350.0,100.0,Kph,31.726,50.778,1992,1.0,348.0,103100.0,215033.0,47.94612963679862,2003-07-01,2023-09-25
85,1,nat-met-sto-sto,Gastroenteritis,94,143,73,0,0,0,4350.0,100.0,Kph,31.726,50.778,1992,7.0,348.0,103100.0,215033.0,47.94612963679862,2006-01-03,2023-09-25
86,1,nat-met-sto-sto,Gastroenteritis,17,143,73,0,0,0,4350.0,4.9,Kph,31.726,50.778,1992,7.0,10200.0,103100.0,215033.0,47.94612963679862,2006-01-03,2023-09-25
87,1,nat-met-sto-sto,Gastroenteritis,200,143,73,0,0,0,4350.0,4.9,Kph,31.726,50.778,1992,8.0,4050.0,103100.0,215033.0,47.94612963679862,2003-07-01,2023-09-25
88,1,nat-met-sto-hai,Gastroenteritis,9,143,73,0,0,0,4350.0,4.9,Kph,31.726,50.778,1992,5.0,4050.0,103100.0,215033.0,47.94612963679862,2003-07-01,2023-09-25
89,1,nat-met-sto-sev,Gastroenteritis,200,143,73,0,0,0,4350.0,4.9,Kph,31.726,50.778,1992,5.0,4050.0,50000.0,104284.0,47.94612963679862,2003-07-01,2023-09-25
90,1,nat-geo-ear-gro,Gastroenteritis,87,143,73,0,0,0,4350.0,4.9,Richter,31.726,50.778,1992,5.0,4050.0,50000.0,104284.0,47.94612963679862,2004-03-26,2023-09-25
91,1,nat-met-sto-sev,Gastroenteritis,200,143,70,0,0,0,4350.0,161.0,Kph,33.377,71.317,1992,12.0,1500.0,50000.0,104284.0,47.94612963679862,2003-07-01,2023-09-25
92,1,nat-hyd-flo-riv,Gastroenteritis,25,143,70,0,0,0,4350.0,161.0,Km2,33.377,71.317,1992,12.0,1500.0,50000.0,104284.0,47.94612963679862,2006-01-03,2023-09-25
93,1,nat-met-sto-sev,Gastroenteritis,200,121,70,0,0,0,4350.0,161.0,Kph,33.377,71.317,1992,55.0,200.0,50000.0,104284.0,47.94612963679862,2003-07-01,2023-09-25
94,1,nat-hyd-mmw-ava,Gastroenteritis,144,121,70,0,0,0,4350.0,161.0,Kph,33.377,71.317,1992,55.0,200.0,50000.0,104284.0,47.94612963679862,2006-01-06,2023-09-25
95,1,nat-met-sto-hai,Gastroenteritis,200,121,73,0,0,0,4350.0,161.0,Kph,33.377,71.317,1992,15.0,200.0,50000.0,104284.0,47.94612963679862,2003-07-01,2023-09-25
96,1,nat-hyd-flo-riv,Gastroenteritis,17,121,73,0,0,0,4350.0,161.0,Km2,33.377,71.317,1992,15.0,200.0,50000.0,104284.0,47.94612963679862,2006-01-06,2023-09-25
97,1,nat-met-sto-hai,Gastroenteritis,200,121,73,0,0,0,4350.0,161.0,Kph,33.377,71.317,1992,16.0,100.0,50000.0,104284.0,47.94612963679862,2003-07-01,2023-09-25
98,1,nat-met-sto-sto,Gastroenteritis,17,121,73,0,0,0,4350.0,161.0,Kph,33.377,71.317,1992,16.0,100.0,50000.0,104284.0,47.94612963679862,2006-01-06,2023-09-25
99,1,nat-met-sto-sev,Gastroenteritis,200,121,73,0,0,0,4350.0,161.0,Kph,33.377,71.317,1992,5.0,1628.0,50000.0,104284.0,47.94612963679862,2003-07-01,2023-09-25
100,1,nat-hyd-flo-riv,Gastroenteritis,79,121,73,0,0,0,4350.0,161.0,Km2,33.377,71.317,1992,5.0,1628.0,50000.0,104284.0,47.94612963679862,2005-11-25,2023-09-25
101,1,nat-hyd-flo-flo,Gastroenteritis,0,143,38,0,0,0,4350.0,161.0,Km2,33.377,71.317,1992,150.0,2100.0,24100.0,50265.0,47.94612963679862,2006-01-06,2023-09-25
102,1,nat-met-sto-sev,Gastroenteritis,200,143,38,0,0,0,4350.0,161.0,Kph,33.377,71.317,1992,243.0,2100.0,24100.0,50265.0,47.94612963679862,2003-07-01,2023-09-25
103,1,nat-hyd-mmw-lan,Gastroenteritis,186,143,38,1,0,0,4350.0,5.5,Kph,33.377,71.317,1992,243.0,2100.0,24100.0,50265.0,47.94612963679862,2006-01-06,2023-09-25
104,1,nat-met-sto-sto,Gastroenteritis,185,330,38,0,0,0,4350.0,5.5,Kph,33.377,71.317,1992,14.0,2100.0,250000.0,521419.0,47.94612963679862,2003-07-01,2023-09-25
105,1,nat-geo-ear-gro,Gastroenteritis,0,330,38,0,0,0,4350.0,5.5,Richter,33.377,71.317,1992,14.0,2100.0,250000.0,521419.0,47.94612963679862,2004-03-26,2023-09-25
106,1,nat-geo-ear-gro,Gastroenteritis,144,330,38,0,0,0,4350.0,6.0,Richter,33.377,71.317,1992,36.0,2100.0,250000.0,521419.0,47.94612963679862,2004-03-26,2023-09-25
107,1,nat-met-sto-sev,Gastroenteritis,200,330,38,0,0,0,4350.0,11670.0,Kph,34.0,-118.15,1992,14.0,20000.0,250000.0,521419.0,47.94612963679862,2003-07-01,2023-09-25
108,1,nat-met-sto-sto,Gastroenteritis,33,330,38,0,0,0,4350.0,11670.0,Kph,34.0,-118.15,1992,14.0,20000.0,250000.0,521419.0,47.94612963679862,2006-01-06,2023-09-25
109,1,nat-hyd-flo-riv,Gastroenteritis,108,330,73,0,0,0,4350.0,11670.0,Km2,34.0,-118.15,1992,14.0,250000.0,250000.0,521419.0,47.94612963679862,2006-07-18,2023-09-25
110,1,nat-met-sto-sto,Gastroenteritis,33,121,73,0,0,0,4350.0,161.0,Kph,34.0,-118.15,1992,88.0,18000.0,3700.0,7717.0,47.94612963679862,2006-01-06,2023-09-25
111,1,nat-met-sto-sto,Gastroenteritis,200,121,73,0,0,0,4350.0,161.0,Kph,34.0,-118.15,1992,88.0,435300.0,3700.0,7717.0,47.94612963679862,2003-07-01,2023-09-25
112,1,nat-met-sto-sev,Gastroenteritis,200,121,73,0,0,0,4350.0,113.0,Kph,34.0,-118.15,1992,88.0,435300.0,3700.0,7717.0,47.94612963679862,2003-07-01,2023-09-25
113,1,nat-hyd-flo-riv,Gastroenteritis,34,121,73,0,0,0,4350.0,491100.0,Km2,34.0,-118.15,1992,88.0,435300.0,3700.0,7717.0,47.94612963679862,2006-07-18,2023-09-25
114,1,nat-met-sto-sev,Gastroenteritis,85,319,42,0,0,0,4350.0,7.4,Kph,34.0,-118.15,1992,60.0,45000.0,100000.0,208567.0,47.94612963679862,2006-01-06,2023-09-25
115,1,nat-met-sto-sev,Gastroenteritis,200,319,73,0,0,0,4350.0,7.4,Kph,34.0,-118.15,1992,2.0,45000.0,100000.0,208567.0,47.94612963679862,2003-07-01,2023-09-25
116,1,nat-hyd-flo-riv,Gastroenteritis,17,319,73,0,0,0,4350.0,7.4,Km2,34.0,-118.15,1992,2.0,45000.0,100000.0,208567.0,47.94612963679862,2006-01-06,2023-09-25
117,1,nat-met-sto-sev,Gastroenteritis,200,121,73,0,0,0,4350.0,7.4,Kph,34.0,-118.15,1992,1.0,300.0,100000.0,208567.0,47.94612963679862,2003-07-01,2023-09-25
118,1,nat-geo-ear-gro,Gastroenteritis,200,121,73,0,0,0,4350.0,7.4,Richter,34.0,-118.15,1992,1.0,300.0,100000.0,208567.0,47.94612963679862,2003-12-23,2023-09-25
119,1,nat-hyd-flo-riv,Gastroenteritis,34,121,73,0,0,0,4350.0,65830.0,Km2,41.019,72.429,1992,96.0,31632.0,146000.0,304508.0,47.94612963679862,2006-07-18,2023-09-25
120,1,nat-hyd-flo-riv,Gastroenteritis,34,121,73,0,0,0,4350.0,393000.0,Km2,41.019,72.429,1992,35.0,5000.0,76000.0,158511.0,47.94612963679862,2006-07-18,2023-09-25
121,1,nat-cli-wil-for,Gastroenteritis,150,12,73,0,0,0,4350.0,5.6,Km2,41.019,72.429,1992,35.0,35088.0,68700.0,143286.0,47.94612963679862,2006-01-06,2023-09-25
122,1,nat-met-sto-sev,Gastroenteritis,200,12,73,0,0,0,4350.0,5.6,Kph,41.019,72.429,1992,448.0,35088.0,68700.0,143286.0,47.94612963679862,2003-07-01,2023-09-25
123,1,nat-met-sto-sto,Gastroenteritis,34,12,73,0,0,0,4350.0,5.6,Kph,41.019,72.429,1992,448.0,35088.0,68700.0,143286.0,47.94612963679862,2006-01-06,2023-09-25
124,1,nat-met-sto-sto,Gastroenteritis,142,12,73,0,0,0,4350.0,5.6,Kph,41.019,72.429,1992,1346.0,63500.0,300000.0,625702.0,47.94612963679862,2003-07-01,2023-09-25
125,1,nat-hyd-flo-flo,Gastroenteritis,186,12,73,1,0,0,4350.0,5.6,Km2,41.019,72.429,1992,1346.0,63500.0,300000.0,625702.0,47.94612963679862,2003-07-01,2023-09-25
126,1,nat-geo-ear-gro,Gastroenteritis,201,12,73,1,0,0,4350.0,5.6,Richter,41.019,72.429,1992,9.0,50000.0,400000.0,834270.0,47.94612963679862,2004-03-26,2023-09-25
127,1,nat-bio-epi-bac,Gastroenteritis,13,12,45,1,0,0,4350.0,5.0,Richter,-7.138,109.067,1992,220.0,2068.0,400000.0,834270.0,47.94612963679862,2003-07-01,2023-09-25
128,1,nat-geo-ear-gro,Gastroenteritis,84,12,45,0,0,0,4350.0,5.0,Richter,-7.138,109.067,1992,47.0,7501.0,400000.0,834270.0,47.94612963679862,2004-03-26,2023-09-25
129,1,nat-met-sto-sev,Gastroenteritis,62,12,45,0,0,0,4350.0,5.9,Kph,35.106,139.644,1992,47.0,2000.0,400000.0,834270.0,47.94612963679862,2004-01-21,2023-09-25
130,1,nat-geo-ear-gro,Gastroenteritis,94,121,45,0,0,0,4350.0,5.9,Richter,35.106,139.644,1992,640.0,32.0,3150.0,6570.0,47.94612963679862,2004-03-26,2023-09-25
131,1,nat-met-sto-bli,Gastroenteritis,34,121,45,0,0,0,4350.0,6.5,Kph,29.41,91.1,1992,640.0,194283.0,3150.0,6570.0,47.94612963679862,2006-01-06,2023-09-25
132,1,nat-geo-ear-gro,Gastroenteritis,34,121,45,0,0,0,4350.0,6.5,Richter,29.41,91.1,1992,640.0,16000.0,3150.0,6570.0,47.94612963679862,2004-03-26,2023-09-25
133,1,nat-bio-epi-dis,Gastroenteritis,141,121,45,0,0,0,4350.0,10.0,Vaccinated,42.503,45.073,1992,640.0,50000.0,10000.0,20857.0,47.94612963679862,2003-07-01,2023-09-25
134,1,nat-bio-epi-bac,Cholera,98,121,45,0,0,0,4350.0,10.0,Km2,42.503,45.073,1992,50.0,400.0,10000.0,20857.0,47.94612963679862,2003-07-01,2023-09-25
135,1,nat-hyd-flo-riv,Iniki,91,121,45,0,0,0,4350.0,10.0,Km2,42.503,45.073,1992,2.0,990.0,10000.0,20857.0,47.94612963679862,2005-11-25,2023-09-25
136,1,nat-met-sto-sev,Iniki,200,10,45,0,0,0,4350.0,10.0,Kph,42.503,45.073,1992,6.0,990.0,85000.0,177282.0,47.94612963679862,2003-07-01,2023-09-25
137,1,nat-met-sto-sev,Iniki,200,10,45,0,0,0,4350.0,10.0,Kph,42.503,45.073,1992,6.0,990.0,85000.0,177282.0,47.94612963679862,2003-07-01,2023-09-25
